,المعرف,الفئة,النوع,السعر,الكمية,الإجمالي
0,1,حجر ,VEKO صغير,20,1,20
1,2,كمونه,5,5,3,15
2,3,حجر ,LOD صغير,10,1,10
3,4,صب,portable,150,1,150
4,5,صيانة,50,50,1,50
5,6,شاحن type c,conx  ic03,120,1,120
6,7,  اسكرين ,غزالة  - OOHI - نينجا,45,1,45
7,8,  اسكرين ,HD,35,1,35
8,9,ريموت,x,25,1,25
9,10,سماعه,stereo ,60,1,60
10,11,وصلة micro,conx  ic06,50,1,50
11,12,  اسكرين ,نحلة - ,60,1,60
12,13,خالد,الدسوقي,10,18,180
13,14,شاحن type c,hm 515,150,1,150
14,15,وصلة micro,conx  ic06,50,1,50
15,16,شاحن micro,xscoots ch 246,100,1,100
